,0,1,kmeans_cluster
0,-1.9267477,-146.27757,0
1,-24.634233,-151.75633,2
2,15.756698,-144.27435,0
3,-23.12317,-143.21117,2
4,-1.924146,-140.02689,0
5,-7.854922,-138.73672,0
6,-25.504967,-147.39005,2
7,-44.562386,-149.7412,2
8,-20.66385,-146.46371,0
9,-30.342855,-155.47662,2
10,-21.399412,-147.34416,2
11,-15.198554,-145.65205,0
12,4.588819,-137.5589,0
13,-13.8315325,-141.81465,0
14,10.189055,-148.17589,0
15,1.3513323,-145.76991,0
16,-24.694118,-148.90471,2
17,-13.89784,-151.55272,0
18,-23.017027,-142.40274,2
19,4.872639,-143.81027,0
20,6.2446694,-144.44313,0
21,16.914236,-139.8099,0
22,-1.4622167,-150.6978,0
23,-12.423839,-144.64075,0
24,-52.103085,-156.74266,2
25,-20.625097,-142.01462,0
26,-13.9482355,-143.49477,0
27,-0.8583998,-140.64,0
28,-36.024364,-145.54399,2
29,-5.8651423,-147.00005,0
30,-8.664723,-145.86874,0
31,7.648106,-140.17506,0
32,21.786142,-150.61873,0
33,-1.173757,-145.78365,0
34,-2.9716125,-146.09795,0
35,-4.980146,-140.05121,0
36,4.218249,-147.09792,0
37,1.1764723,-138.43056,0
38,-7.936931,-141.40323,0
39,-7.0988936,-142.70993,0
40,-2.280849,-147.95563,0
41,-20.055698,-150.39297,0
42,-12.589944,-138.12964,0
43,-17.600063,-148.16216,0
44,14.868999,-144.2263,0
45,-4.659225,-141.48906,0
46,-10.584157,-142.7375,0
47,-17.56685,-145.07964,0
48,-1.2633356,-142.56583,0
49,-4.5056815,-140.02243,0
50,-57.917683,-156.7474,2
51,0.71415764,-137.75172,0
52,-6.7671676,-143.21016,0
53,-17.02686,-136.15852,0
54,1.2220923,-142.3456,0
55,-27.685,-147.16284,2
56,-5.6538825,-140.76244,0
57,17.486696,-146.4593,0
58,-14.52065,-148.30705,0
59,3.0378022,-143.87999,0
60,-8.231824,-147.57057,0
61,-18.209738,-155.28891,0
62,-33.650715,-150.49854,2
63,-27.222132,-136.38223,2
64,-22.994522,-149.5658,2
65,-0.24057144,-147.74626,0
66,-31.553234,-132.59712,2
67,-5.4514174,-153.33195,0
68,10.277694,-148.0243,0
69,-27.732496,-134.53883,2
70,-102.97942,-166.1389,2
71,-8.417533,-131.94383,0
72,-9.127967,-142.83519,0
73,1.8430086,-147.8461,0
74,-17.814758,-138.76703,0
75,-6.584375,-143.10246,0
76,-2.1075244,-146.14723,0
77,-14.8201685,-148.88371,0
78,3.4216828,-149.72179,0
79,-18.683643,-138.31375,0
80,-23.186565,-149.59532,2
81,2.9987054,-139.84364,0
82,-27.649351,-159.47475,2
83,-13.578862,-147.19986,0
84,-18.808935,-146.8315,0
85,-26.346693,-134.08904,2
86,-15.235427,-146.4171,0
87,-5.06941,-147.11452,0
88,-8.506431,-143.15465,0
89,-10.066897,-144.66087,0
90,-7.4285636,-144.0721,0
91,-5.56014,-142.56607,0
92,-42.259098,-157.62497,2
93,-11.3846445,-147.02882,0
94,13.695193,-142.45537,0
95,-35.71596,-159.61365,2
96,-11.379685,-145.3173,0
97,-22.644354,-143.9803,2
98,13.628089,-147.07916,0
99,-6.731486,-135.00288,0
100,-20.311127,-139.42204,0
101,-39.407593,-144.37904,2
102,-20.70125,-135.24529,0
103,-59.821087,-157.52724,2
104,-4.0952544,-147.00322,0
105,-21.580153,-138.62312,0
106,-29.882998,-157.34807,2
107,3.3207078,-142.9162,0
108,-15.818015,-27.800251,0
109,-2.1158195,-146.28067,0
110,9.06998,-145.41904,0
111,-0.9595465,-144.68929,0
112,-17.714022,-138.23805,0
113,-4.323282,-143.62575,0
114,-26.206987,-147.1528,2
115,19.065605,-142.10733,0
116,-40.65715,-139.23296,2
117,-14.997914,-149.03372,0
118,-404.1111,-294.8339,1
119,-60.99622,-151.31734,2
120,-0.36725754,-150.23465,0
121,4.425757,-141.00157,0
122,-6.0472674,-147.58243,0
123,-25.11625,-141.78682,2
124,-8.350172,-141.69771,0
125,-15.668816,-135.56546,0
126,-5.836639,-132.75429,0
127,-19.35927,-149.99146,0
128,-18.750902,-151.37213,0
129,-39.957867,-151.24252,2
130,-8.372167,-145.92525,0
131,-10.660726,-145.60153,0
132,-36.62859,-153.9538,2
133,-14.235181,-142.20663,0
134,3.49964,-140.62813,0
135,-61.72745,-138.26985,2
136,-4.6777673,-135.4586,0
137,8.651118,-139.36212,0
138,-8.321336,-148.12659,0
139,-23.111135,-150.92326,2
140,-3.5220542,-148.50407,0
141,-5.6792865,-144.54706,0
142,-0.8772368,-146.32486,0
143,-33.495945,-155.52608,2
144,-6.6635947,-142.9266,0
145,-12.343207,-139.66165,0
146,-33.04203,-154.60338,2
147,-81.51851,-168.61977,2
148,-36.437386,-151.50276,2
149,-25.676325,-154.41321,2
150,-24.47832,-153.23154,2
151,-5.36597,-149.54112,0
152,-26.973536,-138.06978,2
153,-33.79384,-143.75533,2
154,-32.769947,-142.32494,2
155,2.137236,-145.30708,0
156,-25.346268,-156.47389,2
157,-34.86636,-158.6645,2
158,4.098704,-145.31314,0
159,-21.622469,-138.96912,0
160,-16.034033,-144.18594,0
161,5.6239076,-142.66423,0
162,-29.098185,-147.60709,2
163,12.460868,-149.92477,0
164,-30.979097,-146.51408,2
165,-40.117283,-140.34651,2
166,-21.869326,-145.93208,2
167,-20.64614,-151.80469,2
168,-8.991752,-127.71446,0
169,-16.501604,-148.92624,0
170,-2.1096969,-151.18419,0
171,-17.221306,-147.47438,0
172,-18.249306,-149.39891,0
173,-4.0085845,-141.23074,0
174,-35.297523,-145.31456,2
175,-34.76914,-147.38426,2
176,0.68717057,-147.01854,0
177,-103.67079,-181.19743,2
178,-28.577644,-151.70238,2
179,2.9977565,-141.28612,0
180,-6.208196,-138.66095,0
181,-25.061806,-134.8713,2
182,-41.62151,-158.24464,2
183,-2.3755088,-148.40509,0
184,-23.498781,-146.84486,2
185,-7.0830703,-149.49019,0
186,-7.979874,-139.91023,0
187,-21.438269,-126.71898,0
188,-4.772392,-141.46704,0
189,16.56899,-147.26443,0
190,8.230552,-148.8466,0
191,-17.038977,-158.62224,0
192,15.809165,-138.96352,0
193,3.5805383,-142.01729,0
194,-6.5257277,-147.62155,0
195,-7.8962646,-137.75067,0
196,-69.459656,-103.19316,2
197,-20.3386,-140.66736,0
198,-22.439224,-133.85834,0
199,-14.817897,-137.91331,0
200,-38.472393,-156.16083,2
201,-26.179071,-142.62231,2
202,-12.48138,-133.0146,0
203,-33.49806,-148.23758,2
204,-33.74925,-152.93228,2
205,-10.330949,-139.16576,0
206,-25.901249,-142.6544,2
207,-12.90474,-134.4113,0
208,-13.996603,-145.55086,0
209,19.092403,-146.85992,0
210,-6.0168204,-153.20636,0
211,-0.19113868,-150.06673,0
212,1.2119642,-139.60127,0
213,-3.2945762,-151.18576,0
214,-25.680473,-139.53876,2
215,-1.604936,-141.58055,0
216,-12.75768,-141.99478,0
217,-35.976933,-151.04073,2
218,-5.91176,-149.13554,0
219,-39.330845,-147.21053,2
220,-19.310705,-139.68816,0
221,-7.796472,-146.95114,0
222,0.7435041,-134.11446,0
223,-4.115785,-148.60883,0
224,-199.33968,-219.11504,1
225,-41.367447,-160.9457,2
226,13.287906,-142.39331,0
227,9.568288,-142.79951,0
228,-70.95643,-167.43115,2
229,-12.548879,-158.32022,0
230,-30.197723,-146.26286,2
231,-0.94411033,-142.59276,0
232,-2.6680884,-148.21675,0
233,-11.839959,-150.29709,0
234,-1.1275343,-147.6988,0
235,-66.71075,-149.87047,2
236,-13.151552,-144.99467,0
237,-14.73808,-139.05363,0
238,20.75263,-135.44646,0
239,-20.857845,-151.03485,2
240,0.36123902,-138.57053,0
241,7.7414155,-144.56581,0
242,-17.873648,-151.65488,0
243,-17.978138,-146.1283,0
244,-3.1386275,-139.95457,0
245,-19.042278,-147.32018,0
246,-12.127207,-140.81467,0
247,-16.642813,-144.26967,0
248,-45.97414,-158.83163,2
249,5.650582,-150.03691,0
250,-10.390918,-143.81694,0
251,-46.096157,-146.03482,2
252,0.0029741004,-145.3132,0
253,-9.185212,-150.06293,0
254,5.229445,-142.80083,0
255,-42.433582,-135.00874,2
256,-2.0531077,-144.88133,0
257,-30.623648,-143.98164,2
258,-10.054318,-142.37463,0
259,-30.490929,-147.26155,2
260,-23.25752,-147.89195,2
261,-7.2241626,-154.3829,0
262,-11.459033,-151.41809,0
263,-35.905254,-144.83745,2
264,-67.12602,-171.92957,2
265,9.5109415,-143.10616,0
266,-25.59133,-131.7274,2
267,2.6966786,-139.38513,0
268,-24.019186,-151.07196,2
269,-4.467647,-142.40059,0
270,-32.822567,-144.19241,2
271,-8.325219,-153.46483,0
272,1.9322592,-145.76672,0
273,-7.1193023,-150.49,0
274,-15.143895,-150.88278,0
275,0.25268227,-142.22057,0
276,-16.167757,-148.13254,0
277,-11.491368,-147.1047,0
278,6.657226,-135.8043,0
279,-15.146163,-148.19328,0
280,-10.984794,-142.01707,0
281,-50.522423,-161.5851,2
282,-18.213636,-144.44017,0
283,-16.072634,-136.03969,0
284,-7.086103,-143.17308,0
285,14.781415,-138.53502,0
286,-43.997883,-151.13274,2
287,-14.703725,-151.48773,0
288,-26.242842,-150.63968,2
289,-13.418672,-143.22232,0
290,-30.496708,-141.6896,2
291,-0.31195396,-144.19505,0
292,-17.242128,-140.23653,0
293,-26.06367,-142.73032,2
294,-4.7771945,-146.26064,0
295,-12.328094,-143.90582,0
296,-10.776544,-144.87733,0
297,-6.1146064,-143.1135,0
298,4.9522347,-144.29613,0
299,-3.9907432,-143.0772,0
300,-50.217655,-145.63747,2
301,-5.1189475,-145.69267,0
302,-0.30479187,-147.7519,0
303,-33.571697,-148.48476,2
304,1.5277544,-142.53094,0
305,-8.018476,-144.37398,0
306,-198.09416,-206.99887,1
307,-149.95757,-198.7343,1
308,-15.386733,-140.16277,0
309,-6.304998,-142.75131,0
310,5.1031637,-135.60756,0
311,-16.436613,-144.33008,0
312,3.7576928,-155.07942,0
313,-27.35356,-150.2926,2
314,-33.31715,-151.0171,2
315,-13.582414,-148.017,0
316,-60.2559,-160.83253,2
317,-3.1050735,-138.54341,0
318,-28.785208,-154.86743,2
319,-32.069107,-153.01169,2
320,11.255555,-149.46385,0
321,-4.4253287,-143.5929,0
322,-9.935254,-144.60399,0
323,-2.5321136,-145.45515,0
324,-43.423748,-152.2041,2
325,-22.398027,-136.70705,0
326,-20.224321,-157.07884,2
327,-38.4814,-152.61868,2
328,-21.260824,-147.62953,2
